name,geometry
30 St Mary Axe,POINT (-0.0803364128521994 51.514470819016275)
St Bartholomew-The Great,POINT (-0.0994662980464077 51.51892283609437)
St. Mary-Le-Bow,POINT (-0.0935523221630409 51.51372755819547)
St Paul's Cathedral,POINT (-0.0984789084682034 51.51377353633658)
London Bridge,POINT (-0.0876824135472727 51.5080182795086)
Guildhall,POINT (-0.0919365134131038 51.51587335717259)
Whitefriars Crypt,POINT (-0.1074300287926026 51.51310843817715)
The Garden at 120,POINT (-0.0809152441141763 51.512208541950784)
Round Reading Room,POINT (-0.1097797473933006 51.515441168992105)
Weston Room (Rolls Chapel),POINT (-0.1109304000000013 51.51516109999999)
The Original Cell,POINT (-0.1112927118680777 51.51524257172705)
Bank of England,POINT (-0.0885324419752369 51.51416916114427)
The Monument to the Great Fire of London,POINT (-0.0859446999999993 51.510101899999995)
