name,geometry
Leicester Square,POINT (-0.1300872405053007 51.51042442906407)
Horse Guards Parade,POINT (-0.128237656817533 51.50463910294809)
Westminster Cathedral,POINT (-0.1394625588216786 51.495849833413914)
Wellington Arch,POINT (-0.1508182760001972 51.50253596818416)
Queen Caroline's Temple,POINT (-0.1759817614140889 51.50633637651193)
All Souls Church,POINT (-0.1430414183760202 51.518154467036446)
St Martin-in-the-Fields,POINT (-0.12666527069485 51.50883282640421)
Royal Opera House,POINT (-0.1225229183971924 51.512842742040796)
Tiny Giants,POINT (-0.1518976610946948 51.53409287230879)
Outback,POINT (-0.1567742228843136 51.53497908303087)
Marble Arch,POINT (-0.1589365291606701 51.51317575215382)
Gorilla Kingdom,POINT (-0.1550167059427904 51.53533291675834)
Mangabeys,POINT (-0.1543817650541275 51.535300499105624)
Butterfly Paradise,POINT (-0.1523801293955569 51.5351624341119)
Land of the Lions,POINT (-0.1525844719570751 51.53410801517469)
In with the Monkeys,POINT (-0.151365335448593 51.53347125091863)
Mongooses,POINT (-0.1545826202322016 51.53631629380273)
Into Africa,POINT (-0.1578127480236651 51.535765341813615)
African wild dogs,POINT (-0.1576727754764151 51.53605045730925)
Warthogs,POINT (-0.1589224458669213 51.5357384286988)
Okapis,POINT (-0.1587185948986072 51.535486877754465)
Zebras,POINT (-0.1581997397765838 51.535640670889556)
Giraffes,POINT (-0.1576393601088287 51.53572778993772)
Reptile House,POINT (-0.1558479402780628 51.5349940831453)
St. Marylebone Parish Church,POINT (-0.1523183993802676 51.522654255365254)
St James's Church,POINT (-0.1366394660864358 51.5086529989917)
Monkey Valley,POINT (-0.1575046300711647 51.53646727305923)
"St John's, Smith Square",POINT (-0.1269986854404958 51.49597570164401)
Caxton Hall,POINT (-0.1349257378335043 51.498695190801534)
Elizabeth Tower,POINT (-0.1245735258495381 51.50070046372785)
Horse Guards,POINT (-0.1270579444886377 51.50475425585952)
Banqueting House,POINT (-0.1259158916918047 51.50457386298794)
Blewcoat School,POINT (-0.1360266245473632 51.498391307280116)
St Paul's Church,POINT (-0.1236991146931665 51.51155045618356)
St Barnabas,POINT (-0.1517437506289729 51.49040848448271)
The Old Curiosity Shop,POINT (-0.1173188264098928 51.51494784769702)
Rainforest Life,POINT (-0.1552923107523605 51.5363056102584)
Speakers' Corner,POINT (-0.1600154375598456 51.511841612227165)
Piccadilly Lights,POINT (-0.1346845011149677 51.5102827914562)
Cleopatra's Needle,POINT (-0.1203431540913007 51.50850773286821)
Westminster Abbey,POINT (-0.1274100923861074 51.499404088151536)
Westminster Hall,POINT (-0.1253712226792904 51.499889532125685)
Courtauld Institute of Art,POINT (-0.1175118193033452 51.51159062295688)
Royal Albert Hall,POINT (-0.1774031074267673 51.5010132592749)
The Albert Memorial,POINT (-0.1776817962994602 51.502383973032664)
Hyde Park,POINT (-0.1636821241208611 51.506854329743746)
Victoria Memorial,POINT (-0.1405872745174028 51.501839712323395)
Abbey Road Studios,POINT (-0.1782541320455038 51.5320122011073)
Pygmy hippos,POINT (-0.1568556913431045 51.53592841431929)
Paul McCartney's Villa,POINT (-0.1733831500101287 51.53174852835663)
Tiger Territory,POINT (-0.155290048151391 51.53446237945721)
Covent Garden Market,POINT (-0.1227154701941082 51.51198929938703)
Macaws,POINT (-0.1519569505730231 51.535080462672504)
Bactrian camels,POINT (-0.1547173398677147 51.53399959825245)
Bird Safari,POINT (-0.1551887308401848 51.534995198158065)
In with the Lemurs,POINT (-0.1560508603531048 51.53619446848115)
Madame Tussauds,POINT (-0.1550191917549471 51.52289703371032)
Queen's Tower,POINT (-0.1768904272198475 51.49835090600063)
Flags Of UK Overseas Territories,POINT (-0.1263325371181546 51.500548388449786)
Penguin Beach,POINT (-0.1524607252534114 51.535698032939756)
Gibbons,POINT (-0.1555747911297165 51.534291434091934)
Hanuman langur,POINT (-0.152323402823598 51.53439874390124)
Otters,POINT (-0.1542486644510561 51.53642869543762)
Red titi Monkeys,POINT (-0.1548080505052866 51.53641665313475)
Attenborough Komodo Dragon House,POINT (-0.1559899255292946 51.53464053244081)
Giants of the Galápagos,POINT (-0.1530497254390964 51.53526262321971)
The Farmyard,POINT (-0.153997789145666 51.53401900691068)
Coatis,POINT (-0.1525150162202009 51.53350725759915)
Meerkats,POINT (-0.1531893212443366 51.53352985719509)
Chinese water deer,POINT (-0.1538957697737764 51.536545961926436)
African harrier-hawk,POINT (-0.1546475764482117 51.535806105213645)
Diana monkeys,POINT (-0.1544832109076757 51.53559506720671)
Celebes crested macaques,POINT (-0.1548443088544829 51.5356362000577)
The Secret Life of Reptiles and Amphibians,POINT (-0.153853578622812 51.53539102916951)
The Royal Mews,POINT (-0.1441875503960564 51.498915352320054)
Saint James's Palace,POINT (-0.1379468651251874 51.50449604959257)
Palace of Westminster,POINT (-0.1245834895842726 51.49931927555809)
10 Downing Street,POINT (-0.1275431248454916 51.50351165581419)
Royal Courts of Justice,POINT (-0.1132047272208912 51.514177452399096)
Lubetkin Pool,POINT (-0.1534345405275002 51.53401713465328)
Parliament Square,POINT (-0.1269588986647801 51.500666759640545)
Burlington House,POINT (-0.139467401034225 51.50903779518292)
Trafalgar Square,POINT (-0.1280251418272485 51.50798835841967)
Buckingham Palace,POINT (-0.1425253255962635 51.50078450930079)
Little Dean's Yard,POINT (-0.1279301779980784 51.498422255091285)
Piccadilly Circus,POINT (-0.1342612609499757 51.50987376526352)
Red river hogs,POINT (-0.1543799695451667 51.53474749686972)
