name,geometry
Dr Johnson's House,"POLYGON ((-0.1081982 51.5148748, -0.1081274 51.5148777, -0.1081338 51.514944, -0.1082048 51.5149418, -0.1081982 51.5148748))"
Prince Henry's Room,"POLYGON ((-0.1108953 51.5137766, -0.1109572 51.513768, -0.1109915 51.5137626, -0.1109575 51.513674, -0.1109239 51.51368, -0.1109065 51.5136831, -0.110859 51.5136916, -0.1108715 51.5137209, -0.1108953 51.5137766))"
London Mithraeum,"POLYGON ((-0.0909209 51.5124629, -0.090459 51.5123461, -0.0904271 51.512396, -0.090356 51.512507, -0.0908146 51.5126218, -0.0909209 51.5124629))"
Dr. Johnsons House,"POLYGON ((-0.1082147 51.5150984, -0.108122 51.515102, -0.1081181 51.5150735, -0.108114 51.5149989, -0.108113 51.5149812, -0.1082067 51.5149793, -0.1082147 51.5150984))"
Hangar 1,"POLYGON ((-0.2409219 51.5975743, -0.2401513 51.5974499, -0.2399808 51.5974224, -0.2395124 51.5973468, -0.2392312 51.5973014, -0.2393236 51.5970807, -0.2393348 51.5970539, -0.239346 51.5970272, -0.2393619 51.5969892, -0.2410525 51.5972621, -0.2409219 51.5975743))"
Crystal Palace Museum,"POLYGON ((-0.076685 51.4198245, -0.0766423 51.4198136, -0.0765938 51.4198013, -0.0766283 51.4197485, -0.0764742 51.4197094, -0.0765309 51.4196226, -0.0765486 51.4196271, -0.0765588 51.4196115, -0.0766218 51.4196275, -0.0766117 51.4196431, -0.0767562 51.4196798, -0.0767394 51.4197054, -0.0767594 51.4197105, -0.076685 51.4198245))"
Forty Hall Museum,"POLYGON ((-0.0680242 51.6696659, -0.0681262 51.6695226, -0.0684688 51.6696164, -0.0683668 51.6697597, -0.0681969 51.6697132, -0.0680242 51.6696659))"
HMS Belfast,"POLYGON ((-0.0802269 51.5064074, -0.0803229 51.5064414, -0.0805033 51.5064901, -0.0807496 51.5065498, -0.0810462 51.5066087, -0.0813478 51.5066588, -0.0815944 51.5067034, -0.081795 51.5067332, -0.0820145 51.5067653, -0.0821708 51.5067834, -0.0823151 51.5067885, -0.0824516 51.50679, -0.0825625 51.5067866, -0.0824698 51.5067408, -0.0823523 51.506688, -0.0822296 51.5066509, -0.0818574 51.5065721, -0.0814055 51.5064757, -0.0810926 51.5064128, -0.0807892 51.5063636, -0.0802993 51.5063065, -0.0802694 51.5063047, -0.0802464 51.5063031, -0.0802144 51.5063008, -0.0801968 51.5062996, -0.0800971 51.5062928, -0.0800328 51.5062927, -0.0800077 51.5062991, -0.0799979 51.5063103, -0.080004 51.5063185, -0.0800265 51.50633, -0.0800641 51.5063474, -0.0801067 51.506365, -0.0802269 51.5064074))"
Horniman Museum and Gardens,"POLYGON ((-0.0604999 51.44148, -0.060628 51.4406148, -0.0608922 51.4406213, -0.0613283 51.440632, -0.0618673 51.4406468, -0.0625665 51.4407165, -0.0632132 51.4408408, -0.0639818 51.4410076, -0.0640135 51.4410143, -0.0642901 51.4410728, -0.0640103 51.4414971, -0.0637982 51.4417656, -0.0634826 51.4421997, -0.0633419 51.4424137, -0.0628411 51.4432656, -0.062588 51.4437717, -0.062585 51.4437735, -0.0625012 51.4437487, -0.062324 51.443668, -0.0614264 51.4430978, -0.0614472 51.4430776, -0.0614105 51.4430544, -0.0613761 51.4430313, -0.0608532 51.4427649, -0.0603686 51.4425671, -0.0601067 51.4424601, -0.0590831 51.4421594, -0.0593958 51.4416335, -0.0599987 51.4416298, -0.0600004 51.441478, -0.0604999 51.44148))"
Imperial War Museum,"POLYGON ((-0.1089869 51.4961074, -0.1089873 51.4960924, -0.1089943 51.4960925, -0.1090016 51.4958145, -0.109005 51.4956872, -0.1090017 51.4956872, -0.1090031 51.495633, -0.1090057 51.495633, -0.1090124 51.4953788, -0.1089018 51.4953777, -0.1089009 51.4954155, -0.1088152 51.4954146, -0.1088161 51.4953811, -0.1087018 51.49538, -0.1087017 51.4953848, -0.1085338 51.4953831, -0.1085347 51.4953515, -0.1084284 51.4953505, -0.1084295 51.4953099, -0.1084102 51.4953097, -0.1084109 51.4952811, -0.1082243 51.4952792, -0.1082144 51.4956517, -0.1082212 51.4956518, -0.1082206 51.4956742, -0.1082064 51.4956741, -0.1081956 51.4960844, -0.1082014 51.4960844, -0.1082009 51.4961018, -0.1081828 51.496105, -0.1081716 51.4961109, -0.1081629 51.4961192, -0.1081601 51.4961286, -0.1081589 51.4962144, -0.1082932 51.4962151, -0.1082924 51.4962715, -0.1084391 51.4962723, -0.1084385 51.496319, -0.1085897 51.4963198, -0.1087412 51.4963206, -0.1087418 51.4962739, -0.1088864 51.4962746, -0.1088872 51.4962215, -0.1090214 51.4962222, -0.1090226 51.4961338, -0.1090201 51.4961249, -0.1090125 51.4961172, -0.1090004 51.496111, -0.1089869 51.4961074))"
