name,geometry
The Arches Shopping,POINT (-0.1244366 51.5078482)
Bush House Arcade,POINT (-0.1170489 51.5124741)
Stow Bazaar,POINT (-0.0287083 51.5828945)
Palace Exchange,POINT (-0.0820126 51.6514527)
,POINT (-0.0696181 51.4734182)
Hadson Mall,POINT (-0.1740162 51.5229497)
Queensway Market,POINT (-0.1874096 51.5110993)
Cowley Retail Park,POINT (-0.477794 51.5177294)
Eltham Arcade,POINT (0.0584182 51.4506284)
The Village,POINT (-0.4192427 51.5064587)
Mall in the Wall,POINT (-0.4192494 51.5059428)
One New Change,POINT (-0.0955778199097842 51.51386167876151)
Royal Exchange,POINT (-0.087165391584666 51.51362815023187)
Treaty Centre,POINT (-0.3635588972432691 51.46772279304064)
Battersea Power Station,POINT (-0.1445366176418662 51.48178819852649)
Wimbledon Quarter Shopping Centre,POINT (-0.2044200678062134 51.42144569848274)
Butterfly Walk,POINT (-0.0924749448124089 51.473302888141674)
Southside Shopping Centre,POINT (-0.1937722878172828 51.45536434966321)
St George’s Shopping Centre,POINT (-0.3391634554082946 51.58140679333666)
The Broadwalk Shopping Centre,POINT (-0.2755002451382152 51.61230973700665)
The Bentall Centre,POINT (-0.304624537360038 51.41176851535487)
Ivy Bridge Shopping Centre,POINT (-0.3321223904701849 51.459601212904275)
Angel Central,POINT (-0.1062937281676629 51.53423226309346)
St. Anns Centre,POINT (-0.3366790835122412 51.580804922644724)
Exchange Ilford,POINT (0.0722090759463488 51.5599621277092)
Arcadia Shopping Centre,POINT (-0.3039651320241505 51.513975285474174)
Stratford Centre,POINT (-0.0000385824386563 51.54166275782496)
London Trocadero,POINT (-0.1331358460832901 51.51067570848187)
The Chimes,POINT (-0.4766058714255861 51.54548764938655)
Glades Shopping Centre,POINT (0.0165390017528619 51.40407778421757)
O2 Centre,POINT (-0.1815638036839021 51.54793577603697)
Peckham Levels,POINT (-0.0669903023072674 51.47089297838056)
Holdron's Arcade,POINT (-0.0677809920366009 51.46957416599037)
Hiba Mall,POINT (-0.1740769301546204 51.52257860435643)
West One,POINT (-0.1495048636670328 51.51396480176735)
Cardinal Place Shopping Centre,POINT (-0.1401164904088763 51.497339653833066)
Market Village,POINT (0.0013518881365804 51.54198840830126)
The Mall,POINT (0.1487363832700849 51.54101270213992)
Westfield Stratford City,POINT (-0.0068496146259018 51.54331449025779)
Romford Shopping Hall,POINT (0.1821320245278332 51.57992071515229)
The Mercury Mall,POINT (0.1859652988522873 51.57913240278144)
The Liberty Shopping Centre,POINT (0.1828702871609355 51.57810747483702)
The Kensington Arcade,POINT (-0.1926177303169771 51.50081287303591)
Centrale,POINT (-0.1023735313005817 51.375362776317736)
Whitgift Centre,POINT (-0.1004157197518023 51.376236965399)
Burlington Arcade,POINT (-0.1401647575462783 51.50896426067446)
Galleria,POINT (0.0239123590340892 51.59429175747705)
Library Arcade,POINT (-0.1099318886307491 51.59545463022855)
Himalaya Palace Shopping Centre,POINT (-0.376373965008754 51.51067817320874)
Boxpark Shoreditch,POINT (-0.0762426276718484 51.52348781191916)
Brent Cross Shopping Centre,POINT (-0.2237409091066374 51.5764254651895)
17 & Central,POINT (-0.0236215233575749 51.583328929534616)
The Brewery,POINT (0.1803154074979439 51.5754286077853)
Surrey Quays Shopping Centre,POINT (-0.0469509270577258 51.495635765045705)
Vicarage Field Shopping Centre,POINT (0.0813870663418966 51.53805710977286)
Kingsland Shopping Centre,POINT (-0.0736285406785688 51.54762696806412)
Nag's Head Town Centre,POINT (-0.1173043196054879 51.55723864632346)
Shopper's Plaza,POINT (-0.3011994351816928 51.551981245654744)
The Royal Arcade,POINT (-0.1414717460395398 51.509088907662594)
Lewisham Shopping Centre,POINT (-0.0117762397421422 51.46169459701353)
Portobello Green Arcade,POINT (-0.2075190289026094 51.51854183601212)
The Factory,POINT (-0.0733970687642708 51.551207923873925)
Coal Drops Yard,POINT (-0.1264338369674385 51.53582106546133)
Pantechnicon,POINT (-0.1572466374817647 51.49918174510293)
Sky Shopping Centre,POINT (-0.0678901162806392 51.46945610296112)
East Shopping Centre,POINT (0.0314313152073929 51.53946040277706)
Pickwick Walk,POINT (-0.3735231594100985 51.60805699000863)
Kings Walk Shopping Mall,POINT (-0.1632029130620957 51.49013760296702)
,POINT (-0.0982273300812152 51.49370707706534)
Broadway Shopping Centre,POINT (0.1460313892811704 51.45581862172952)
Broadway Shopping Centre,POINT (-0.224142604942144 51.49217965709974)
Venus,POINT (0.0339224052811305 51.53837190805623)
The Oaks Shopping Centre,POINT (-0.2699027990835377 51.50754800068152)
The Downlands Shopping Precinct,POINT (-0.1154233727608737 51.33915286867977)
The Plaza,POINT (-0.4194012799850668 51.50583464615873)
Himalaya Shopping Mall,POINT (-0.378810722517633 51.51096411829979)
Livat Hammersmith,POINT (-0.2279413803819013 51.49310232747014)
West 12,POINT (-0.2190837415548386 51.503464764467964)
The Pavilions,POINT (-0.481346929781998 51.546648147687925)
The Spires Shopping Centre,POINT (-0.2031648431329024 51.65559974351491)
Westfield London,POINT (-0.2214547021590575 51.50766369585896)
Erith Riverside,POINT (0.1806023227298101 51.480349850889226)
